url,lastName,firstName,currentTitle,currentLocation,connectionCounts,eduSchool,eduStartDate,eduEndDate,eduField,eduDegree,job1Company,job1StartDate,job1EndDate,job1Title,job1Location,job2Company,job2StartDate,job2EndDate,job2Title,job2Location,job3Company,job3StartDate,job3EndDate,job3Title,job3Location
xxx,xxx,xxx,M.A. in Statistics at Columbia University in the City of New York,"New York, New York",79,Columbia University in the City of New York,2016,2018,   Statistics,   Master???€??s Degree,Columbia University Graduate School of Arts and Sciences,2017.1,present,   Technical Support Engineer,   Greater New York City Area,,,,,,,,,,
xxx,xxx,xxx,Software Engineer at Facebook,San Francisco Bay Area,135,Columbia University in the City of New York,2012,2013,   Statistics,   Master of Arts (MA),Columbia University,2012.1,2013.5,   Digital Centers Intern,   Greater New York City Area,The Veloz Group,2013.6,2013.8,   Software Engineering Intern,   Greater Los Angeles Area,Facebook,2014.3,present,   Software Engineer,"   Menlo Park, CA"
xxx,xxx,xxx,Healthcare Investment Banking Analyst at Brocair Partners,"New York, New York",500,Columbia University in the City of New York,2015,2017,   Statistics,   Master&#39;s Degree,Hemingway Corporate Finance,2015.3,2015.6,   Investment Banking Analyst Intern,"   Amsterdam Area, Netherlands",HSBC Global Banking and Markets,2016.6,2016.8,   Investment Research Summer Analyst,   Greater New York City Area,Brocair Partners LLC,2017.4,present,   Healthcare Investment Banking Analyst,   Greater New York City Area
xxx,xxx,xxx,Data Scientist at JPMorgan Chase &amp; Co.,"New York, New York",500,Columbia University in the City of New York,2014,2015,   Statistics,   Master&#39;s Degree,HungryTickets.com,2015,present,   Operations Director,   Greater New York City Area,The AAT Project (America???€??s Amazing Teens),2015.1,2015.1,"   Database Architect (PHP, Java Script, MySQL)",   New York,Columbia Business School,2015.6,2015.12,"   Research Assistant (Python, Matlab, Fortran)",   Greater New York City Area
xxx,xxx,xxx,Data Scientist,"New York, New York",500,Columbia University in the City of New York,2015,2016,   Statistics,   Master???€??s Degree,Columbia University in the City of New York,2016.9,2016.12,   Teaching Assistant,,UNICEF,2017.2,2017.5,   Junior Statistician,,Aetna,2017.5,present,   Data Scientist,
xxx,xxx,xxx,Seeking Full-Time position in Data Science | Software Development | Risk Management | Asset Management,"Long Island City, New York",500,Columbia University in the City of New York,2015,2017,   Statistics,   Master of Arts (M.A.),Columbia University in the City of New York,2016.9,present,   Teacher Assistant,   Greater New York City Area,iPullRank,2017.1,present,   Market Research and Analytics Intern,   Greater New York City Area,Two Roads Software.,2017.5,present,   Data Scientist,
xxx,xxx,xxx,M.A. Statistics Student at Columbia University,"New York, New York",201,Columbia University in the City of New York,2016,2017.12,   Statistics,   Master of Arts (M.A.),SFL Scientific,2017.8,2017.1,   Data Scientest Intern,,myKlovr,2017.9,present,   Data Scientist Intern,"   New York, NY",Columbia University in the City of New York,2017.9,2017.12,   Teaching Assistant,   Greater New York City Area
xxx,xxx,xxx,"Data Scientist at 1010data, Machine Learning &amp; Statistical Modeling",Greater New York City Area,500,Columbia University in the City of New York,2013,2015,   Statistics,   Master of Arts (M.A.),1010data,2014.7,2014.8,   Technical Communications Intern,   Greater New York City Area,Institute for Social and Economic Research and Policy at Columbia University,2014.9,2015.2,   Statistical Consultant,   Greater New York City Area,1010data,2015.2,present,   Data Scientist,   Greater New York City Area
xxx,xxx,xxx,Research Assistant,"New York, New York",500,Columbia University in the City of New York,2016,2017,   Statistics,   Master of Arts (M.A.),Alpine Capital Advisors,2017.1,present,   Analyst,   New York,Columbia University - Columbia Business School,2017.2,2017.12,   Research Assistant,   Greater New York City Area,United Nations,2017.4,2017.6,   Data Analyst ,"   New York, New York"
xxx,xxx,xxx,Data Analyst at Merlin,"New York, New York",500,Columbia University in the City of New York,2016,2018,   Statistics,   Master???€??s Degree,Compass /,2017.2,2017.8,   Analyst Intern,   Greater New York City Area,Columbia Business School,2017.6,2017.8,   Research Assistant,   Greater New York City Area,Merlin,2018.1,present,   Data Analyst,   Greater New York City Area
xxx,xxx,xxx,Data Scientist at Tremor Video,"New York, New York",500,Columbia University in the City of New York,2014,2016,   Statistics,   Master???€??s Degree,"Sustainable Engineering Lab at the School of Engineering and The Earth Institute, CU",2015.5,2015.7,   Research Assistant,   New York,Tremor Video,2016.5,2017.7,   Data Scientist,   Greater Boston Area,Tremor Video DSP,2017.8,present,   Data Scientist,   Greater New York City Area
xxx,xxx,xxx,Currently looking for a full time job in data analysis area,"New York, New York",50,Columbia University in the City of New York,2016,2017,   Statistics,   Master of Arts - MA,CITIC Securities Company Limited,2015.4,2015.9,   Data analyst intern,   China,Peltast Partners,2017.3,2017.6,   Data analyst intern,"   Chicago, IL",Cast Capital,2017.6,2017.8,   Data Analyst Intern,"   New York, New York"
xxx,xxx,xxx,Student at Columbia University in the City of New York,Greater New York City Area,500,Columbia University in the City of New York,2017,2018,   Statistics,   Master of Arts - MA,Purdue University,2016.1,2017.5,   Undergraduate Research Assistant,"   West Lafayette, IN",Conagra Brands,2016.8,2016.12,   Industrial Engineer Intern/Senior Design Student,"   Indianapolis, Indiana Area",Lautandhana Investment Management,2017.7,2017.8,   Analyst Intern,"   Greater Jakarta Area, Indonesia"
xxx,xxx,xxx,Data Analyst at Orchard Platform,"New York, New York",237,Columbia University in the City of New York,2014,2015,   Statistics,   Master&#39;s Degree,Orchard Platform,2015.6,2015.8,   Data Visualization Intern,   Greater New York City Area,Orchard Platform,2016.1,present,   Data Analyst,   Greater New York City Area,,,,,
xxx,xxx,xxx,Data Scientist Intern at VNB Consulting Services,Greater New York City Area,206,Columbia University in the City of New York,2016,2017.12,   Statistics,   Master???€??s Degree,Iowa State University,2013.8,2014.5,   Academic Tutor in Math Help Room,"   Des Moines, Iowa Area",Iowa State University,2016.2,2016.6,   Undergraduate Research Assistant,"   Des Moines, Iowa Area",VNB Consulting Services,2017.11,present,   Data Scientist Intern,   Greater New York City Area
xxx,xxx,xxx,Data Scientist at Goldman Sachs,Greater New York City Area,138,Columbia University in the City of New York,2012,2014,   Statistics,   Master???€??s Degree,pymetrics,2015.1,2017.5,   Data Scientist,   Greater New York City Area,The Data Incubator,2015.6,2015.8,   Fellow,   Greater New York City Area,Goldman Sachs,2017.6,present,   Data Scientist,   Greater New York City Area
xxx,xxx,xxx,Data Science at Pinterest,"San Francisco, California",500,Columbia University in the City of New York,2014,2015,   Statistics,   Master&#39;s Degree,BuildingLink.com,2015.6,2015.8,   Data Scientist Summer Intern,"   New York, New York",Kogentix Inc.,2016.2,2017.3,   Data Scientist,   Greater Chicago Area,Pinterest,2017.3,present,   Data Science,   San Francisco Bay Area
xxx,xxx,xxx,Graduate Student - Master of Art in Statistics at Columbia University in the City of New York,"New York, New York",146,Columbia University in the City of New York,2017,2018,   Statistics,   Master of Arts - MA,Columbia University GSAS Department of Statistics,2017.1,present,   Student Representative,   Greater New York City Area,Columbia Statistics Club,2017.9,present,   Vice President,   Greater New York City Area,Hong Kong Students and Scholars Society - Columbia University,2017.9,present,   Board Member,   Greater New York City Area
xxx,xxx,xxx,Data Scientist,"New York, New York",500,Columbia University in the City of New York,2015,2017,   M.A. Statistics,   Master???€??s Degree,Columbia University in the City of New York,2016.1,2017.5,   Teaching Assistant/Grader,   Greater New York City Area,????????????????????????????????????????????????,2016.6,2016.9,   Research Assistant,   Greater New York City Area,Wolters Kluwer,2017.7,present,   Data Scientist | ops decision science,"   New York, New York"
xxx,xxx,xxx,"A skilled and enthusiastic data scientist, Student at Columbia University in the City of New York","New York, New York",500,Columbia University in the City of New York,2015,2016,   Statistics,   Master&#39;s degree,"CITIBANK (CHINA) CO., LTD",2014.8,2014.9,   Summer Intern,"   Beijing City, China",Snapwiz Inc.,2016.6,2016.8,   Data Science Intern,"   Fremont, CA",Loadsmart,2017.3,present,   Data Scientist,   39 Wooster St.
xxx,xxx,xxx,MA Statistics at Columbia University_ Active data analysis job seeker in a NPO,"New York, New York",500,Columbia University in the City of New York,2012,2013,Statistics,Master of Arts (M.A.),Fudan University,2008.8,2012.7,Course Project Leader,"   Shanghai City, China",2010 Shanghai EXPO,2010.6,2010.6,Volunteer,"   Shanghai City, China",Human Resource Department in City Planning Bureau of Tianjin,2011.8,2011.8,Office Assistant,"   Tianjin City, China"
xxx,xxx,xxx,"Quant at Graham Capital Management, L.P.",Greater New York City Area,500,Columbia University,2013,2014,Statistics,Master of Arts (M.A.),Microsoft (China),2011.5,2012.7,Intern,"   Beijing City, China",Misys,2014.1,2016.4,Financial Technical Consultant,Greater New York City Area,Yulan Capital Management,2014.2,2014.5,Equity Research Assistant,greater new york city area
xxx,xxx,xxx,Data Scientist at PulsePoint,Greater New York City Area,461,Columbia University in the City of New York,2013,2014,Statistics,Master of Arts (MA),National Taiwan University,2012.2,2012.8,Research Assistant,,"Army, R.O.C.",2012.8,2013.7,Second Lieutenant,Taiwan,PulsePoint,2015.3,present,Data Scientist,Greater New York City Area
xxx,xxx,xxx,Graduate Student at Columbia University,Greater New York City Area,26,Columbia University in the City of New York,2013,2015,Statistics,Master&#39;s Degree,People&#39;s Insurance Company of China,2013.6,2013.8,Summer Intern,"   Guangzhou, Guangdong, China",SouFun Holdings,2014.5,2014.7,Real Estate Analyst Summer Intern,Greater New York City Area,,NA,,,
xxx,xxx,xxx,Research Intern at Compass Inc.,Greater New York City Area,171,Columbia University in the City of New York,2013,2015,Statistics,Master of Arts (MA),China Minsheng Banking Corp.ltd,2013.3,2013.5,Financial Market Intern,"   Hangzhou, Zhejiang, China",Rongzhi Investment Management Company,2014.7,2014.8,Data Analyst Intern,"   Shanghai City, China",Propcy Inc.,2015.3,2015.6,Data Scientist Intern,Greater New York City Area
xxx,xxx,xxx,Associate Data Scientist at The Hanover Insurance Group,"New York, New York",457,Columbia University in the City of New York,2013,2015,Statistics,Master of Arts (M.A.),Xizang Tongxin Securities,2012.2,2012.6,Financial Research Intern,"   Shanghai City, China",HSBC,2013.1,2013.6,Business Analyst Intern,"   Shanghai City, China",Urban Compass,2014.9,2014.12,Data Analyst Intern,Greater New York City Area
xxx,xxx,xxx,Investment Manager at Private Equity,Greater New York City Area,500,Columbia University in the City of New York,2013,2015,Statistics,Master&#39;s Degree,Marsh &amp; McLennan Companies,2013.7,2013.8,"   Research, Summer Analyst","   Beijing City, China","AXA Advisors, LLC",2014.11,2014.12,Fiancial Advisory Intern,Greater New York City Area,Chubb (formerly ACE Group),2014.6,2014.8,"   Capital Management &amp; Corporate Finance, Summer Analyst","   Philadelphia, PA"
xxx,xxx,xxx,Data Scientist Intern at VNB Consulting Services,Greater New York City Area,205,Columbia University in the City of New York,2016,2017.12,Statistics,Master???€??s Degree,Shandong Mingyuan Latex Co. Ltd.,2013.5,2013.6,Quality Inspection Assistant (Intern),"   Jinan, Shandong, China","Shandong Mingyuan (HK) international Co., Limited",2013.6,2013.8,Intern,"   Jinan, Shandong, China",Iowa State University,2013.8,2014.5,Academic Tutor in Math Help Room,"   Des Moines, Iowa Area"
xxx,xxx,xxx,Data Scientist at iKnowtion,"Cambridge, Massachusetts",300,Columbia University in the City of New York,2013,2015,Statistics,Master of Arts (M.A.),"China Merchants Securities Co., Ltd.",2013.6,2013.8,Data Analyst Summer Intern,"   Shenzhen, Guangdong, China",Columbia University in the City of New York,2013.8,2015.2,Master Student,Greater New York City Area,Talkspace,2015.7,2016.1,Data Scientist,Greater New York City Area
xxx,xxx,xxx,Senior Data Analyst at Marketing Evolution,Greater New York City Area,445,Columbia University in the City of New York,2013,2014,Statistics,MA candidate,"Siemens, China",2012.7,2012.8,Marketing Analyst Intern,"   Shanghai City, China",Marketing Evolution,2015.1,2016.1,Data Analyst,Greater New York City Area,CYH Capital,2015.3,2015.6,Analyst Intern,New York
xxx,xxx,xxx,Equity Trader at CICC,"New York, New York",156,Columbia University in the City of New York,2013,2014,Statistics,Master&#39;s degree,CICC,2015,present,Sales Trader,New York,,NA,,,,,NA,,,
xxx,xxx,xxx,~~,Greater New York City Area,337,Columbia University in the City of New York,2013,2015,Statistics,M.A.,"Technical Consulting &amp; Research, Inc.",2014.1,2014.6,Educational Specialist,"   Weston, CT",Alpha Capital Corporation,2014.4,2014.9,Investment Banking Analyst,New York,"OmniMarkets, LLC",2014.6,2014.9,Quantitative Research Intern,New York
xxx,xxx,xxx,Data Scientists,Greater Seattle Area,500,Columbia University in the City of New York,2013,2014,Statistics,Master of Arts (MA),Baosight,2013.5,2013.8,Business Intelligence Intern,"   Shanghai City, China",Fidelity Investments,2014.6,2014.8,Big Data Intern,"   Smithfield, Rhode Island Area",Amazon,2015.1,present,Data Scientist,Greater Seattle Area
xxx,xxx,xxx,Graduate Student from Columbia University in the City of New York,"New York, New York",500,Columbia University in the City of New York,2013,2014,Statistics,Master&#39;s Degree,China Galaxy Securities,2012.1,2012.12,"   Equity Research Analyst, Strategy Team","   Beijing City, China",State Information Center,2012.7,2012.9,Economic Modeling Analyst,"   Beijing City, China",HSBC,2013.3,2013.5,Corporate Sustainability Assistant,"   Beijing City, China"
xxx,xxx,xxx,Sr. Analyst at Discover Financial Services,"Huangpu District, Shanghai, China",296,Columbia University in the City of New York,2013,2015,Statistics,Master of Arts (MA),Cargill,2012.7,2012.12,Global Trading Analytics Intern,,Citi,2013.4,2013.6,Risk Analytics Intern,,Discover Financial Services,2015.8,present,Senior Analyst,
xxx,xxx,xxx,Data Analytics at ShopRunner,Greater Chicago Area,500,Columbia University in the City of New York,2013,2014,Statistics,Master,Columbia University in the City of New York,2014.9,2014.12,Teaching Assistant,Greater New York City Area,"Gravity Media, LLC",2015.2,2015.9,Data Analyst,Greater New York City Area,UM Worldwide,2015.9,2016.12,"   Analyst, Analytics",Greater New York City Area
xxx,xxx,xxx,Data Analyst at IPsoft,Greater New York City Area,500,Columbia University in the City of New York,2013,2015,Statistics,Master&#39;s degree,Rutgers University,2010.9,2013.5,Undergraduate Mentor,"   New Brunswick, New Jersey",Johnson &amp; Johnson,2013.6,2013.8,Data Analyst Intern,"   Shanghai City, China",West End Partners,2014.11,2015.3,BI Analyst Intern,Greater New York City Area
xxx,xxx,xxx,Student at Columbia University in the City of New York,"New York, New York",204,Columbia University in the City of New York,2013,2015,Statistics,Master&#39;s degree,Tsinghua University,2011.6,2011.8,Research Assistant,,Beijing Institute of Technology,2011.9,2013.8,Research Analyst,"   Beijing City, China",Citi&amp;Orient Securities,2012.1,2013.1,Financial Analyst Intern,Beijing
xxx,xxx,xxx,Student at Columbia University in the City of New York,"New York, New York",104,Columbia University in the City of New York,2013,2014,Statistics,Master of Arts (M.A.),"China Galaxy Securities, Investment Banking Department",2012.7,2012.8,Analyst Assistant,,,NA,,,,,NA,,,
xxx,xxx,xxx,columbia university,Greater New York City Area,46,Columbia University in the City of New York,2013,2014,Statistics,Master of Arts (MA),Purdue University,2012.5,2012.8,Undergraduate Math Researcher,,Purdue University,2013.1,2013.5,Teaching Assistant,,"Southwest Securities Company, Ltd.",2013.6,2013.6,Data Analyst,"   Chongqing City, China"
xxx,xxx,xxx,M.A. in Statistics student at Columbia University in the City of New York,"New York, New York",61,Columbia University in the City of New York,2014,2015,Statistics,Master of Arts (M.A.),"GF Fund Management Co., Ltd.",2015.5,2015.5,Data Analyst Intern,"   Guangzhou, Guangdong, China",UBS SDIC Fund Management Company Limited,2015.6,2015.8,Quantitative Analyst Intern,"   Shanghai City, China",,NA,,,
xxx,xxx,xxx,Statistics MA Student at Columbia University,"New York, New York",500,Columbia University in the City of New York,2014,2015,Statistics,Master of Arts (M.A.),HSBC,2011.8,2011.9,Summer Intern,China,Imperial College Finance Society,2012.3,2013.3,Vice President Corporate Relations,,UBS Wealth Management,2013.7,2013.8,Summer Intern,Hong Kong
xxx,xxx,xxx,Graduate student at Columbia University,Greater New York City Area,109,Columbia University in the City of New York,2013,2015,M.A. in Statistics,Statistics Master Degree,AIA Insurance,2012.7,2012.8,Record Analyst,"   Guangdong, China",,NA,,,,,NA,,,
xxx,xxx,xxx,MA Statistics Candidate at Columbia University,Greater New York City Area,21,Columbia University in the City of New York,2017,2018,Statistics,Master of Arts - MA,Tianfeng Securities,2017.6,2017.7,Quantitative Analyst Summer Intern,"   Shanghai City, China",,NA,,,,,NA,,,
xxx,xxx,xxx,Research Assistant at Columbia Business School,"New York, New York",154,Columbia University in the City of New York,2017,2018,Statistics,Master&#39;s degree,Hubei Tianmingqihe Interenet Technology Co.Ltd,2016.4,2017,Co-Founder,"   Wuhan, Hubei, China",Bureau of Statitics Shanxi Province,2016.7,2016.8,Intern,"   Taiyuan, Shanxi, China",Columbia Business School,2018.1,present,Research Assistant,Greater New York City Area
xxx,xxx,xxx,Data Scientist,"New York, New York",500,Columbia University in the City of New York,2015,2017,M.A. Statistics,Master???€??s Degree,"Shanghai Alliance Financial Services Co.,Ltd ????????????????????????????????????????????????????????????????????????????????????",2015.6,2015.8,Data Analyst Intern,"   Shanghai City, China",Columbia University in the City of New York,2016.1,2017.5,Teaching Assistant/Grader,Greater New York City Area,????????????????????????????????????????????????,2016.6,2016.9,Research Assistant,Greater New York City Area
xxx,xxx,xxx,M.A. Candidate in Statistics at Columbia University,"New York, New York",181,Columbia University in the City of New York,2014,2015,Statistics,Master of Arts (M.A.),"Chang&#39;An Bank Co.,Ltd",2013.6,2013.9,Intern in Credit Department,"   Xi&#39;an, China",,NA,,,,,NA,,,
xxx,xxx,xxx,Master student in Statistics at Columbia University,"New York, New York",142,Columbia University in the City of New York,2015,2016,Statistics,Master&#39;s degree,Bank of China,2013.7,2013.8,Assistant of the Reception Manager,"   Zhangjiakou City, Hebei Province, China",Bureau of Statistics in Zhangbei County,2014.7,2014.8,Investigation Analyst,"   Zhangjiakou City, Hebei Province, China",Ernst&amp;Young,2015.7,2015.8,FSRM(Financial Service&amp;Risk Management)Consultant Intern,"   Beijing, China"
xxx,xxx,xxx,IDG Capital,"Chaoyang District, Beijing, China",500,Columbia University in the City of New York,2013,2015,Statistics,Master of Arts (M.A.),"Baidu, Inc.",2016.4,2017.4,"   Analyst, Corporate Strategy Department","   Beijing City, China",IDG Capital,2017.1,present,,Beijing,"Baidu, Inc.",2017.4,2017.1,"   Investment Associate, Apollo Fund at Baidu&#39;s Intelligent Driving Group","   Beijing City, China"
xxx,xxx,xxx,--,Greater New York City Area,78,Columbia University in the City of New York,2016,2017,Statistics,Master&#39;s degree,YY Inc.,2015.2,2015.7,Data Analyst,,PingAn Technology,2017.6,2017.8,Product Manager,,,NA,,,
xxx,xxx,xxx,Advisory Advanced Analytics Consultant at Deloitte,Greater New York City Area,271,Columbia University in the City of New York,2013,2015,Statistics,Master of Arts (MA),The Export-Import Bank of China,2012.6,2012.7,Summer Intern,"   Beijing City, China",Deloitte,2014.6,2014.8,"   Summer Intern, Economics and Statistical Consulting Practice",Greater New York City Area,Deloitte,2015.2,present,Advisory Advanced Analytcis Consultant,Greater New York City Area
xxx,xxx,xxx,Data Scientist ML at Airbnb,"San Francisco, California",407,Columbia University in the City of New York,2013,2014,Statistics,Master&#39;s degree,Sinopharm Group Company Limited,2011.1,2013.7,Associate Analyst - Business Strategy,"   Shanghai City, China",AIG,2015,2017,Data Scientist,,JPMorgan Chase &amp; Co.,2017.1,2017.3,Data Scientist,Greater New York City Area
xxx,xxx,xxx,Student at Columbia University in the City of New York,"New York, New York",144,Columbia University in the City of New York,2017,2019,Statistics,Master of Arts - MA,China Guangfa Bank Beijing Branch,2015.7,2015.8,"   Intern,  Assistant Financial Consultant","   Beijing City, China",PwC,2017.3,2017.5,"   Intern, Counselor, Advisory-consulting-experience center-data analytics team","   Beijing City, China",,NA,,,
xxx,xxx,xxx,Sr. Data Analyst at Capital One,Greater New York City Area,206,Columbia University in the City of New York,2015,2017,Statistics,Master of Arts (MA),China CITIC Bank International Limited,2013.6,2013.8,Analyst Intern,,Nielsen Company,2014.5,2014.8,Analyst,,Altice USA,2016.6,2016.8,Marketing Data Analyst Intern,Greater New York City Area
xxx,xxx,xxx,Senior Credit Risk Analyst at LendingClub,"San Francisco, California",500,Columbia University in the City of New York,2012,2014,Statistics,Master of Arts (M.A.),KPMG,2012.1,2012.2,Audit Intern,,Barclays,2013.6,2013.8,Fraud Analytics Intern,Greater New York City Area,Columbia Business School,2013.9,2014.1,Research Assistant,Greater New York City Area
xxx,xxx,xxx,Student at Columbia University in the City of New York,"New York, New York",176,Columbia University in the City of New York,2016,2017,Statistics,Master???€??s Degree,Grant Thornton China????????????????????????,2013.5,2013.8,Audit Assistant,"   Beijing City, China",Hong Kong Phoenix Weekly Magazine Limited,2014.6,2014.8,Editorial Assistant,"   Beijing City, China",University of Maryland,2015.9,2016.5,Teaching Assistant,"   College Park, Maryland"
xxx,xxx,xxx,"Analyst at Chico&#39;s FAS, Inc.","Fort Myers, Florida",324,Columbia University in the City of New York,2013,2015,Statistics,Master of Arts (M.A.),"Fengdie Index Information Technology Co., Ltd",2012.6,2012.8,Summer Intern - Research Analyst,"   Shanghai City, China",Crowdnetic,2014.6,2014.8,Data Engineer Intern,Greater New York City Area,Statistics Department of Columbia University,2014.9,2015.5,Statistical Consultant,Greater New York City Area
xxx,xxx,xxx,Senior Data Scientist at Medidata Solutions,Greater New York City Area,249,Columbia University in the City of New York,2013,2014,Statistics,Master&#39;s Degree,Citigroup,2008.6,2009.1,Investment Banking Analyst,,Federal Reserve Bank of New York,2009.1,2011.4,Research Associate,,Federal Reserve Bank of New York,2011.4,2015.12,Quantitative Policy Associate,Greater New York City Area
xxx,xxx,xxx,Big Data Analyst at Citi,"New York, New York",446,Columbia University in the City of New York,2013,2015,Statistics,Master of Arts (MA),HSBC,2012.1,2012.12,Intern,"   Guangzhou, Guangdong, China",Aon Hewitt,2013.5,2013.8,Intern,"   Guangzhou, Guangdong, China",Bank of America Merrill Lynch,2015.7,2017.1,Market Risk Data Analyst,Greater New York City Area
xxx,xxx,xxx,Liberty Mutual Insurance,Greater New York City Area,291,Columbia University in the City of New York,2013,2014,Statistics,Master&#39;s degree,Deloitte China,2011.4,2012.3,Enterprise Risk Services Consultant,,Pramerica,2013.3,2013.7,Actuarial Trainee,,Liberty Mutual Insurance,2014.6,present,Actuarial,"   Boston, Massachusetts"
xxx,xxx,xxx,Student at Columbia University in the City of New York,"New York, New York",500,Columbia University in the City of New York,2015,2016,Statistics,Master???€??s Degree,Everbright Securities,2014.6,2014.9,Investment Consultant,"   Shanghai City, China",Citi,2015.5,2015.8,Loan Analyst,"   Shanghai City, China",Columbia University in the City of New York,2016.9,2016.12,Teaching Assistant,Greater New York City Area
xxx,xxx,xxx,Graduate Student at Columbia University / M.A. Statistics,"New York, New York",85,Columbia University in the City of New York,2017,2019,Statistics,Master of Arts - MA,AXA,2015.7,2015.8,Intern,Hong Kong,Citi,2016.1,2016.1,Training,"   Beijing City, China",China Merchants Bank,2016.7,2016.8,Intern,"   Qingdao, Shandong, China"
xxx,xxx,xxx,Student at Columbia University,"New York, New York",500,Columbia University in the City of New York,2017,2018,Statistics,MA,University of Toronto,2016.5,2016.8,Research Assistant,"   Toronto, Canada Area",Legend Capital,2017.6,2017.8,Summer Intern,"   Beijing City, China",,NA,,,
xxx,xxx,xxx,Research Assistant,"New York, New York",500,Columbia University in the City of New York,2016,2017,Statistics,Master of Arts (M.A.),Propcy Inc.,2016.1,2017.1,Porfolio Investment Analyst,Greater New York City Area,Columbia University in the City of New York,2017.1,2017.5,Teaching Assistant,Greater New York City Area,Alpine Capital Advisors,2017.1,present,Analyst,New York
