ST,STATE,OCC_TITLE,A_MEAN
AL,Alabama,"Life Scientists, All Other",79580
AL,Alabama,Physicists,121460
AL,Alabama,Atmospheric and Space Scientists,79140
AL,Alabama,Chemists,74980
AL,Alabama,"Environmental Scientists and Specialists, Including Health",59340
AL,Alabama,"Geoscientists, Except Hydrologists and Geographers",72280
AL,Alabama,"Physical Scientists, All Other",71640
AL,Alabama,Economists,94240
AL,Alabama,"Clinical, Counseling, and School Psychologists",85440
AL,Alabama,"Psychologists, All Other",87570
AL,Alabama,Urban and Regional Planners,58840
AL,Alabama,Anthropologists and Archeologists,44890
AL,Alabama,Historians,59900
AL,Alabama,"Social Scientists and Related Workers, All Other",81370
AL,Alabama,Agricultural and Food Science Technicians,43670
AL,Alabama,Biological Technicians,37640
AL,Alabama,Chemical Technicians,46830
AL,Alabama,Geological and Petroleum Technicians,59820
AL,Alabama,Nuclear Technicians,59910
AL,Alabama,"Environmental Science and Protection Technicians, Including Health",46430
AL,Alabama,Forensic Science Technicians,56580
AL,Alabama,Forest and Conservation Technicians,42190
AL,Alabama,"Life, Physical, and Social Science Technicians, All Other",39320
AL,Alabama,Community and Social Service Occupations,41440
AL,Alabama,Substance Abuse and Behavioral Disorder Counselors,41920
AL,Alabama,"Educational, Guidance, School, and Vocational Counselors",50430
AL,Alabama,Marriage and Family Therapists,43490
AL,Alabama,Mental Health Counselors,44850
AL,Alabama,Rehabilitation Counselors,36780
AL,Alabama,"Counselors, All Other",44420
AL,Alabama,"Child, Family, and School Social Workers",39090
AL,Alabama,Healthcare Social Workers,45010
AL,Alabama,Mental Health and Substance Abuse Social Workers,35120
AL,Alabama,"Social Workers, All Other",61220
AL,Alabama,Health Educators,42440
AL,Alabama,Probation Officers and Correctional Treatment Specialists,42100
AL,Alabama,Social and Human Service Assistants,24160
AL,Alabama,Community Health Workers,40020
AL,Alabama,"Community and Social Service Specialists, All Other",36060
AL,Alabama,Clergy,38680
AL,Alabama,"Directors, Religious Activities and Education",40820
AL,Alabama,"Religious Workers, All Other",20860
AL,Alabama,Legal Occupations,85050
AL,Alabama,Lawyers,113010
AL,Alabama,Judicial Law Clerks,32180
AL,Alabama,"Administrative Law Judges, Adjudicators, and Hearing Officers",121110
AL,Alabama,"Arbitrators, Mediators, and Conciliators",57500
AL,Alabama,"Judges, Magistrate Judges, and Magistrates",51880
AL,Alabama,Paralegals and Legal Assistants,45830
AL,Alabama,Court Reporters,37020
AL,Alabama,"Title Examiners, Abstractors, and Searchers",33080
AL,Alabama,"Legal Support Workers, All Other",55010
AL,Alabama,"Education, Training, and Library Occupations",45470
AL,Alabama,"Business Teachers, Postsecondary",93610
AL,Alabama,"Computer Science Teachers, Postsecondary",86930
AL,Alabama,"Mathematical Science Teachers, Postsecondary",65170
AL,Alabama,"Architecture Teachers, Postsecondary",80400
AL,Alabama,"Engineering Teachers, Postsecondary",111290
AL,Alabama,"Agricultural Sciences Teachers, Postsecondary",92780
AL,Alabama,"Biological Science Teachers, Postsecondary",*
AL,Alabama,"Forestry and Conservation Science Teachers, Postsecondary",91530
AL,Alabama,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",93810
AL,Alabama,"Chemistry Teachers, Postsecondary",74190
AL,Alabama,"Environmental Science Teachers, Postsecondary",72820
AL,Alabama,"Physics Teachers, Postsecondary",82870
AL,Alabama,"Economics Teachers, Postsecondary",101640
AL,Alabama,"Geography Teachers, Postsecondary",71840
AL,Alabama,"Political Science Teachers, Postsecondary",72340
AL,Alabama,"Psychology Teachers, Postsecondary",72680
AL,Alabama,"Sociology Teachers, Postsecondary",61300
AL,Alabama,"Health Specialties Teachers, Postsecondary",111150
AL,Alabama,"Nursing Instructors and Teachers, Postsecondary",59780
AL,Alabama,"Education Teachers, Postsecondary",66950
AL,Alabama,"Library Science Teachers, Postsecondary",62610
AL,Alabama,"Criminal Justice and Law Enforcement Teachers, Postsecondary",67820
AL,Alabama,"Social Work Teachers, Postsecondary",72710
AL,Alabama,"Art, Drama, and Music Teachers, Postsecondary",59370
AL,Alabama,"Communications Teachers, Postsecondary",67810
AL,Alabama,"English Language and Literature Teachers, Postsecondary",54250
AL,Alabama,"Foreign Language and Literature Teachers, Postsecondary",59260
AL,Alabama,"History Teachers, Postsecondary",60180
AL,Alabama,"Philosophy and Religion Teachers, Postsecondary",65080
AL,Alabama,Graduate Teaching Assistants,19200
AL,Alabama,"Home Economics Teachers, Postsecondary",73460
AL,Alabama,"Recreation and Fitness Studies Teachers, Postsecondary",60280
AL,Alabama,"Vocational Education Teachers, Postsecondary",42830
AL,Alabama,"Postsecondary Teachers, All Other",31440
AL,Alabama,"Preschool Teachers, Except Special Education",27710
AL,Alabama,"Kindergarten Teachers, Except Special Education",47610
AL,Alabama,"Elementary School Teachers, Except Special Education",49410
AL,Alabama,"Middle School Teachers, Except Special and Career/Technical Education",48480
AL,Alabama,"Career/Technical Education Teachers, Middle School",50920
AL,Alabama,"Secondary School Teachers, Except Special and Career/Technical Education",49880
AL,Alabama,"Career/Technical Education Teachers, Secondary School",52630
AL,Alabama,"Special Education Teachers, Preschool",39220
AL,Alabama,"Special Education Teachers, Kindergarten and Elementary School",50210
AL,Alabama,"Special Education Teachers, Middle School",49500
AL,Alabama,"Special Education Teachers, Secondary School",50920
AL,Alabama,"Special Education Teachers, All Other",51090
AL,Alabama,Adult Basic and Secondary Education and Literacy Teachers and Instructors,40440
AL,Alabama,Self-Enrichment Education Teachers,34990
AL,Alabama,"Teachers and Instructors, All Other, Except Substitute Teachers",33780
AL,Alabama,Substitute Teachers,17340
AL,Alabama,Archivists,59860
AL,Alabama,Curators,51100
AL,Alabama,Museum Technicians and Conservators,36920
AL,Alabama,Librarians,52600
AL,Alabama,Library Technicians,28120
AL,Alabama,Audio-Visual and Multimedia Collections Specialists,30230
AL,Alabama,Farm and Home Management Advisors,50530
AL,Alabama,Instructional Coordinators,64420
AL,Alabama,Teacher Assistants,19800
AL,Alabama,"Education, Training, and Library Workers, All Other",38550
AL,Alabama,"Arts, Design, Entertainment, Sports, and Media Occupations",41750
AL,Alabama,Art Directors,72910
AL,Alabama,Craft Artists,26040
AL,Alabama,Multimedia Artists and Animators,67260
AL,Alabama,"Artists and Related Workers, All Other",52710
AL,Alabama,Commercial and Industrial Designers,56230
AL,Alabama,Floral Designers,24230
AL,Alabama,Graphic Designers,39470
AL,Alabama,Interior Designers,52580
AL,Alabama,Merchandise Displayers and Window Trimmers,24810
AL,Alabama,Set and Exhibit Designers,52440
AL,Alabama,Producers and Directors,49650
AL,Alabama,Coaches and Scouts,37520
AL,Alabama,"Umpires, Referees, and Other Sports Officials",24000
AL,Alabama,Music Directors and Composers,47110
AL,Alabama,Musicians and Singers,*
AL,Alabama,Radio and Television Announcers,29290
AL,Alabama,Public Address System and Other Announcers,40550
AL,Alabama,Broadcast News Analysts,80590
AL,Alabama,Reporters and Correspondents,35470
AL,Alabama,Public Relations Specialists,50460
AL,Alabama,Editors,46790
AL,Alabama,Technical Writers,59860
AL,Alabama,Writers and Authors,54020
AL,Alabama,Interpreters and Translators,39140
AL,Alabama,Audio and Video Equipment Technicians,43170
AL,Alabama,Broadcast Technicians,37080
AL,Alabama,Sound Engineering Technicians,37200
AL,Alabama,Photographers,35690
AL,Alabama,"Camera Operators, Television, Video, and Motion Picture",35370
AL,Alabama,Film and Video Editors,53650
AL,Alabama,"Media and Communication Equipment Workers, All Other",69890
AL,Alabama,Healthcare Practitioners and Technical Occupations,64400
AL,Alabama,Chiropractors,81290
AL,Alabama,"Dentists, General",173220
AL,Alabama,Orthodontists,171770
AL,Alabama,"Dentists, All Other Specialists",141680
AL,Alabama,Dietitians and Nutritionists,47630
AL,Alabama,Optometrists,95080
AL,Alabama,Pharmacists,122010
AL,Alabama,Anesthesiologists,258760
AL,Alabama,Family and General Practitioners,186640
AL,Alabama,"Internists, General",212100
AL,Alabama,Obstetricians and Gynecologists,244110
AL,Alabama,"Pediatricians, General",183580
AL,Alabama,Psychiatrists,228850
AL,Alabama,Surgeons,231480
AL,Alabama,"Physicians and Surgeons, All Other",216330
AL,Alabama,Physician Assistants,89890
AL,Alabama,Podiatrists,112010
AL,Alabama,Occupational Therapists,79580
AL,Alabama,Physical Therapists,84590
AL,Alabama,Radiation Therapists,72950
AL,Alabama,Recreational Therapists,42000
AL,Alabama,Respiratory Therapists,46570
AL,Alabama,Speech-Language Pathologists,68740
AL,Alabama,Exercise Physiologists,41310
AL,Alabama,Veterinarians,75160
AL,Alabama,Registered Nurses,56470
AL,Alabama,Nurse Anesthetists,151390
AL,Alabama,Nurse Practitioners,91000
AL,Alabama,Audiologists,59190
AL,Alabama,"Health Diagnosing and Treating Practitioners, All Other",59100
AL,Alabama,Medical and Clinical Laboratory Technologists,52380
AL,Alabama,Medical and Clinical Laboratory Technicians,35600
AL,Alabama,Dental Hygienists,44070
AL,Alabama,Cardiovascular Technologists and Technicians,44890
AL,Alabama,Diagnostic Medical Sonographers,50700
AL,Alabama,Nuclear Medicine Technologists,60160
AL,Alabama,Radiologic Technologists,45930
AL,Alabama,Magnetic Resonance Imaging Technologists,57770
AL,Alabama,Emergency Medical Technicians and Paramedics,29670
AL,Alabama,Dietetic Technicians,32340
AL,Alabama,Pharmacy Technicians,26920
AL,Alabama,Psychiatric Technicians,25840
AL,Alabama,Respiratory Therapy Technicians,40250
AL,Alabama,Surgical Technologists,34300
AL,Alabama,Veterinary Technologists and Technicians,28740
AL,Alabama,Ophthalmic Medical Technicians,31700
AL,Alabama,Licensed Practical and Licensed Vocational Nurses,35570
AL,Alabama,Medical Records and Health Information Technicians,31930
AL,Alabama,"Opticians, Dispensing",30260
AL,Alabama,Orthotists and Prosthetists,72940
AL,Alabama,"Health Technologists and Technicians, All Other",45730
AL,Alabama,Occupational Health and Safety Specialists,68640
AL,Alabama,Occupational Health and Safety Technicians,48790
AL,Alabama,Athletic Trainers,42570
AL,Alabama,"Healthcare Practitioners and Technical Workers, All Other",36610
AL,Alabama,Healthcare Support Occupations,25230
AL,Alabama,Home Health Aides,19650
AL,Alabama,Psychiatric Aides,22760
AL,Alabama,Nursing Assistants,22000
AL,Alabama,Orderlies,20200
AL,Alabama,Occupational Therapy Assistants,55930
AL,Alabama,Occupational Therapy Aides,25230
AL,Alabama,Physical Therapist Assistants,52600
AL,Alabama,Physical Therapist Aides,24830
AL,Alabama,Massage Therapists,32610
AL,Alabama,Dental Assistants,30650
AL,Alabama,Medical Assistants,25930
AL,Alabama,Medical Equipment Preparers,25320
AL,Alabama,Medical Transcriptionists,31020
AL,Alabama,Pharmacy Aides,20170
AL,Alabama,Veterinary Assistants and Laboratory Animal Caretakers,22810
AL,Alabama,Phlebotomists,26760
AL,Alabama,"Healthcare Support Workers, All Other",29170
AL,Alabama,Protective Service Occupations,35730
AL,Alabama,First-Line Supervisors of Correctional Officers,53570
AL,Alabama,First-Line Supervisors of Police and Detectives,62560
AL,Alabama,First-Line Supervisors of Fire Fighting and Prevention Workers,59460
AL,Alabama,"First-Line Supervisors of Protective Service Workers, All Other",45610
AL,Alabama,Firefighters,40550
AL,Alabama,Fire Inspectors and Investigators,56730
AL,Alabama,Forest Fire Inspectors and Prevention Specialists,32750
AL,Alabama,Bailiffs,30070
AL,Alabama,Correctional Officers and Jailers,34550
AL,Alabama,Detectives and Criminal Investigators,58890
AL,Alabama,Fish and Game Wardens,46840
AL,Alabama,Parking Enforcement Workers,28620
AL,Alabama,Police and Sheriff's Patrol Officers,41910
AL,Alabama,Transit and Railroad Police,34780
AL,Alabama,Animal Control Workers,30050
AL,Alabama,Private Detectives and Investigators,59640
AL,Alabama,Gaming Surveillance Officers and Gaming Investigators,*
AL,Alabama,Security Guards,24050
AL,Alabama,Crossing Guards,19450
AL,Alabama,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",18020
AL,Alabama,Transportation Security Screeners,37730
AL,Alabama,"Protective Service Workers, All Other",29080
AL,Alabama,Food Preparation and Serving Related Occupations,19650
AL,Alabama,Chefs and Head Cooks,46710
AL,Alabama,First-Line Supervisors of Food Preparation and Serving Workers,29910
AL,Alabama,"Cooks, Fast Food",17610
AL,Alabama,"Cooks, Institution and Cafeteria",19370
AL,Alabama,"Cooks, Restaurant",20630
AL,Alabama,"Cooks, Short Order",18830
AL,Alabama,"Cooks, All Other",28600
AL,Alabama,Food Preparation Workers,18810
AL,Alabama,Bartenders,19920
AL,Alabama,"Combined Food Preparation and Serving Workers, Including Fast Food",17350
AL,Alabama,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",18200
AL,Alabama,Waiters and Waitresses,18860
AL,Alabama,"Food Servers, Nonrestaurant",20480
AL,Alabama,Dining Room and Cafeteria Attendants and Bartender Helpers,18830
AL,Alabama,Dishwashers,17880
AL,Alabama,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",17790
AL,Alabama,"Food Preparation and Serving Related Workers, All Other",19490
AL,Alabama,Building and Grounds Cleaning and Maintenance Occupations,22770
AL,Alabama,First-Line Supervisors of Housekeeping and Janitorial Workers,35840
AL,Alabama,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",41260
AL,Alabama,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",20960
AL,Alabama,Maids and Housekeeping Cleaners,18890
AL,Alabama,Pest Control Workers,26680
AL,Alabama,Landscaping and Groundskeeping Workers,23690
AL,Alabama,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",30620
AL,Alabama,Tree Trimmers and Pruners,33490
AL,Alabama,"Grounds Maintenance Workers, All Other",31970
AL,Alabama,Personal Care and Service Occupations,21460
AL,Alabama,Slot Supervisors,37310
AL,Alabama,First-Line Supervisors of Personal Service Workers,33700
AL,Alabama,Animal Trainers,34710
AL,Alabama,Nonfarm Animal Caretakers,20460
AL,Alabama,Gaming and Sports Book Writers and Runners,21440
AL,Alabama,Motion Picture Projectionists,19790
AL,Alabama,Amusement and Recreation Attendants,18300
AL,Alabama,"Locker Room, Coatroom, and Dressing Room Attendants",25290
AL,Alabama,Embalmers,44740
AL,Alabama,Funeral Attendants,23960
AL,Alabama,"Morticians, Undertakers, and Funeral Directors",41440
AL,Alabama,"Hairdressers, Hairstylists, and Cosmetologists",24300
AL,Alabama,Manicurists and Pedicurists,21640
AL,Alabama,Shampooers,17520
AL,Alabama,Skincare Specialists,*
AL,Alabama,Baggage Porters and Bellhops,18650
AL,Alabama,Concierges,21110
AL,Alabama,Tour Guides and Escorts,21680
AL,Alabama,Childcare Workers,18330
AL,Alabama,Personal Care Aides,17870
AL,Alabama,Fitness Trainers and Aerobics Instructors,34630
AL,Alabama,Recreation Workers,23270
AL,Alabama,Residential Advisors,21990
AL,Alabama,"Personal Care and Service Workers, All Other",23220
AL,Alabama,Sales and Related Occupations,32660
AL,Alabama,First-Line Supervisors of Retail Sales Workers,40280
AL,Alabama,First-Line Supervisors of Non-Retail Sales Workers,76380
AL,Alabama,Cashiers,18470
AL,Alabama,Counter and Rental Clerks,23950
AL,Alabama,Parts Salespersons,30990
AL,Alabama,Retail Salespersons,25430
AL,Alabama,Advertising Sales Agents,43760
AL,Alabama,Insurance Sales Agents,55700
AL,Alabama,"Securities, Commodities, and Financial Services Sales Agents",78060
AL,Alabama,Travel Agents,39260
AL,Alabama,"Sales Representatives, Services, All Other",49360
AL,Alabama,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",81530
AL,Alabama,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",63590
AL,Alabama,Demonstrators and Product Promoters,27630
AL,Alabama,Real Estate Brokers,67170
AL,Alabama,Real Estate Sales Agents,56600
AL,Alabama,Sales Engineers,99730
AL,Alabama,Telemarketers,21530
AL,Alabama,"Sales and Related Workers, All Other",25900
AL,Alabama,Office and Administrative Support Occupations,31750
AL,Alabama,First-Line Supervisors of Office and Administrative Support Workers,50030
AL,Alabama,"Switchboard Operators, Including Answering Service",23660
AL,Alabama,Telephone Operators,29070
AL,Alabama,"Communications Equipment Operators, All Other",36300
AL,Alabama,Bill and Account Collectors,30940
AL,Alabama,Billing and Posting Clerks,30990
AL,Alabama,"Bookkeeping, Accounting, and Auditing Clerks",35180
AL,Alabama,Payroll and Timekeeping Clerks,36840
AL,Alabama,Procurement Clerks,36850
AL,Alabama,Tellers,25720
AL,Alabama,"Financial Clerks, All Other",40780
AL,Alabama,Brokerage Clerks,46060
AL,Alabama,Correspondence Clerks,29820
AL,Alabama,"Court, Municipal, and License Clerks",32190
AL,Alabama,"Credit Authorizers, Checkers, and Clerks",33560
AL,Alabama,Customer Service Representatives,29880
AL,Alabama,"Eligibility Interviewers, Government Programs",39620
AL,Alabama,File Clerks,24230
AL,Alabama,"Hotel, Motel, and Resort Desk Clerks",18870
AL,Alabama,"Interviewers, Except Eligibility and Loan",27720
AL,Alabama,"Library Assistants, Clerical",20520
AL,Alabama,Loan Interviewers and Clerks,32370
AL,Alabama,New Accounts Clerks,31570
AL,Alabama,Order Clerks,29450
AL,Alabama,"Human Resources Assistants, Except Payroll and Timekeeping",34990
AL,Alabama,Receptionists and Information Clerks,24180
AL,Alabama,Reservation and Transportation Ticket Agents and Travel Clerks,31250
AL,Alabama,"Information and Record Clerks, All Other",41270
AL,Alabama,Cargo and Freight Agents,49520
AL,Alabama,Couriers and Messengers,24170
AL,Alabama,"Police, Fire, and Ambulance Dispatchers",31100
AL,Alabama,"Dispatchers, Except Police, Fire, and Ambulance",42010
AL,Alabama,"Meter Readers, Utilities",34420
AL,Alabama,Postal Service Clerks,46780
AL,Alabama,Postal Service Mail Carriers,50390
AL,Alabama,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",49040
AL,Alabama,"Production, Planning, and Expediting Clerks",46540
AL,Alabama,"Shipping, Receiving, and Traffic Clerks",29820
AL,Alabama,Stock Clerks and Order Fillers,23410
AL,Alabama,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",28200
AL,Alabama,Executive Secretaries and Executive Administrative Assistants,53490
AL,Alabama,Legal Secretaries,35900
AL,Alabama,Medical Secretaries,31020
AL,Alabama,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",33310
AL,Alabama,Computer Operators,36790
AL,Alabama,Data Entry Keyers,26450
AL,Alabama,Word Processors and Typists,33150
AL,Alabama,Desktop Publishers,30020
AL,Alabama,Insurance Claims and Policy Processing Clerks,32910
AL,Alabama,"Mail Clerks and Mail Machine Operators, Except Postal Service",27790
AL,Alabama,"Office Clerks, General",22870
AL,Alabama,"Office Machine Operators, Except Computer",25410
AL,Alabama,Proofreaders and Copy Markers,28130
AL,Alabama,Statistical Assistants,33700
AL,Alabama,"Office and Administrative Support Workers, All Other",36340
AL,Alabama,"Farming, Fishing, and Forestry Occupations",30670
AL,Alabama,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",49530
AL,Alabama,Agricultural Inspectors,39660
AL,Alabama,"Graders and Sorters, Agricultural Products",21690
AL,Alabama,Agricultural Equipment Operators,30580
AL,Alabama,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",24210
AL,Alabama,"Farmworkers, Farm, Ranch, and Aquacultural Animals",24200
AL,Alabama,"Agricultural Workers, All Other",22310
AL,Alabama,Forest and Conservation Workers,36320
AL,Alabama,Fallers,32590
AL,Alabama,Logging Equipment Operators,32400
AL,Alabama,Log Graders and Scalers,32380
AL,Alabama,"Logging Workers, All Other",42270
AL,Alabama,Construction and Extraction Occupations,38210
AL,Alabama,First-Line Supervisors of Construction Trades and Extraction Workers,57460
AL,Alabama,Boilermakers,56810
AL,Alabama,Brickmasons and Blockmasons,37050
AL,Alabama,Stonemasons,33270
AL,Alabama,Carpenters,32440
AL,Alabama,Carpet Installers,31020
AL,Alabama,"Floor Layers, Except Carpet, Wood, and Hard Tiles",29110
AL,Alabama,Floor Sanders and Finishers,28640
AL,Alabama,Tile and Marble Setters,29590
AL,Alabama,Cement Masons and Concrete Finishers,35030
AL,Alabama,Construction Laborers,27540
AL,Alabama,"Paving, Surfacing, and Tamping Equipment Operators",29370
AL,Alabama,Pile-Driver Operators,37460
AL,Alabama,Operating Engineers and Other Construction Equipment Operators,36740
AL,Alabama,Drywall and Ceiling Tile Installers,33240
AL,Alabama,Electricians,44430
AL,Alabama,Glaziers,33090
AL,Alabama,"Insulation Workers, Floor, Ceiling, and Wall",29130
AL,Alabama,"Insulation Workers, Mechanical",35840
AL,Alabama,"Painters, Construction and Maintenance",32130
AL,Alabama,Pipelayers,37790
AL,Alabama,"Plumbers, Pipefitters, and Steamfitters",41580
AL,Alabama,Plasterers and Stucco Masons,28790
AL,Alabama,Reinforcing Iron and Rebar Workers,45510
AL,Alabama,Roofers,29250
AL,Alabama,Sheet Metal Workers,36920
AL,Alabama,Structural Iron and Steel Workers,40810
AL,Alabama,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",26060
AL,Alabama,Helpers--Carpenters,23240
AL,Alabama,Helpers--Electricians,27100
AL,Alabama,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",23050
AL,Alabama,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",24840
AL,Alabama,Helpers--Roofers,22760
AL,Alabama,"Helpers, Construction Trades, All Other",25310
AL,Alabama,Construction and Building Inspectors,49390
AL,Alabama,Elevator Installers and Repairers,73320
AL,Alabama,Fence Erectors,26350
AL,Alabama,Hazardous Materials Removal Workers,36740
AL,Alabama,Highway Maintenance Workers,27990
AL,Alabama,Rail-Track Laying and Maintenance Equipment Operators,47330
AL,Alabama,Septic Tank Servicers and Sewer Pipe Cleaners,33450
AL,Alabama,"Construction and Related Workers, All Other",32440
AL,Alabama,"Rotary Drill Operators, Oil and Gas",40150
AL,Alabama,"Service Unit Operators, Oil, Gas, and Mining",55290
AL,Alabama,"Earth Drillers, Except Oil and Gas",39110
AL,Alabama,"Explosives Workers, Ordnance Handling Experts, and Blasters",55950
AL,Alabama,Continuous Mining Machine Operators,51830
AL,Alabama,Mine Cutting and Channeling Machine Operators,43820
AL,Alabama,"Mining Machine Operators, All Other",42040
AL,Alabama,"Roof Bolters, Mining",55910
