ST,STATE,OCC_TITLE,A_MEAN
AL,Alabama,Massage Therapists,33990
AL,Alabama,Dental Assistants,32430
AL,Alabama,Medical Assistants,27280
AL,Alabama,Medical Equipment Preparers,26050
AL,Alabama,Medical Transcriptionists,32930
AL,Alabama,Pharmacy Aides,22980
AL,Alabama,Veterinary Assistants and Laboratory Animal Caretakers,23100
AL,Alabama,Phlebotomists,28780
AL,Alabama,"Healthcare Support Workers, All Other",30180
AL,Alabama,Protective Service Occupations,36080
AL,Alabama,First-Line Supervisors of Correctional Officers,54450
AL,Alabama,First-Line Supervisors of Police and Detectives,65150
AL,Alabama,First-Line Supervisors of Fire Fighting and Prevention Workers,60530
AL,Alabama,"First-Line Supervisors of Protective Service Workers, All Other",46840
AL,Alabama,Firefighters,40450
AL,Alabama,Fire Inspectors and Investigators,54840
AL,Alabama,Forest Fire Inspectors and Prevention Specialists,32570
AL,Alabama,Bailiffs,32380
AL,Alabama,Correctional Officers and Jailers,34760
AL,Alabama,Detectives and Criminal Investigators,60880
AL,Alabama,Fish and Game Wardens,48930
AL,Alabama,Parking Enforcement Workers,29970
AL,Alabama,Police and Sheriff's Patrol Officers,43250
AL,Alabama,Animal Control Workers,30410
AL,Alabama,Private Detectives and Investigators,60370
AL,Alabama,Gaming Surveillance Officers and Gaming Investigators,28410
AL,Alabama,Security Guards,23690
AL,Alabama,Crossing Guards,21410
AL,Alabama,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",18040
AL,Alabama,Transportation Security Screeners,39050
AL,Alabama,"Protective Service Workers, All Other",27190
AL,Alabama,Food Preparation and Serving Related Occupations,20560
AL,Alabama,Chefs and Head Cooks,51240
AL,Alabama,First-Line Supervisors of Food Preparation and Serving Workers,30580
AL,Alabama,"Cooks, Fast Food",18240
AL,Alabama,"Cooks, Institution and Cafeteria",19710
AL,Alabama,"Cooks, Restaurant",21730
AL,Alabama,"Cooks, Short Order",20530
AL,Alabama,"Cooks, All Other",28080
AL,Alabama,Food Preparation Workers,20080
AL,Alabama,Bartenders,21760
AL,Alabama,"Combined Food Preparation and Serving Workers, Including Fast Food",18090
AL,Alabama,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",18830
AL,Alabama,Waiters and Waitresses,19780
AL,Alabama,"Food Servers, Nonrestaurant",20770
AL,Alabama,Dining Room and Cafeteria Attendants and Bartender Helpers,19680
AL,Alabama,Dishwashers,18700
AL,Alabama,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",18190
AL,Alabama,"Food Preparation and Serving Related Workers, All Other",19940
AL,Alabama,Building and Grounds Cleaning and Maintenance Occupations,24170
AL,Alabama,First-Line Supervisors of Housekeeping and Janitorial Workers,37590
AL,Alabama,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",41280
AL,Alabama,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",22380
AL,Alabama,Maids and Housekeeping Cleaners,18870
AL,Alabama,Pest Control Workers,30830
AL,Alabama,Landscaping and Groundskeeping Workers,25270
AL,Alabama,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",34240
AL,Alabama,Tree Trimmers and Pruners,41410
AL,Alabama,"Grounds Maintenance Workers, All Other",33230
AL,Alabama,Personal Care and Service Occupations,22250
AL,Alabama,Gaming Supervisors,43110
AL,Alabama,Slot Supervisors,32830
AL,Alabama,First-Line Supervisors of Personal Service Workers,33930
AL,Alabama,Animal Trainers,34460
AL,Alabama,Nonfarm Animal Caretakers,21010
AL,Alabama,Gaming and Sports Book Writers and Runners,27520
AL,Alabama,"Ushers, Lobby Attendants, and Ticket Takers",19200
AL,Alabama,Amusement and Recreation Attendants,19500
AL,Alabama,"Locker Room, Coatroom, and Dressing Room Attendants",20910
AL,Alabama,"Entertainment Attendants and Related Workers, All Other",21970
AL,Alabama,Embalmers,42520
AL,Alabama,Funeral Attendants,20600
AL,Alabama,"Morticians, Undertakers, and Funeral Directors",44000
AL,Alabama,Barbers,31670
AL,Alabama,"Hairdressers, Hairstylists, and Cosmetologists",23930
AL,Alabama,Manicurists and Pedicurists,22980
AL,Alabama,Shampooers,18240
AL,Alabama,Skincare Specialists,32500
AL,Alabama,Baggage Porters and Bellhops,20230
AL,Alabama,Concierges,27780
AL,Alabama,Tour Guides and Escorts,22910
AL,Alabama,Childcare Workers,18810
AL,Alabama,Personal Care Aides,18390
AL,Alabama,Fitness Trainers and Aerobics Instructors,34660
AL,Alabama,Recreation Workers,23340
AL,Alabama,Residential Advisors,23290
AL,Alabama,"Personal Care and Service Workers, All Other",27260
AL,Alabama,Sales and Related Occupations,34070
AL,Alabama,First-Line Supervisors of Retail Sales Workers,41800
AL,Alabama,First-Line Supervisors of Non-Retail Sales Workers,80390
AL,Alabama,Cashiers,19190
AL,Alabama,Counter and Rental Clerks,26840
AL,Alabama,Parts Salespersons,31740
AL,Alabama,Retail Salespersons,27430
AL,Alabama,Advertising Sales Agents,45510
AL,Alabama,Insurance Sales Agents,77610
AL,Alabama,"Securities, Commodities, and Financial Services Sales Agents",77060
AL,Alabama,Travel Agents,39480
AL,Alabama,"Sales Representatives, Services, All Other",50550
AL,Alabama,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",86290
AL,Alabama,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",63610
AL,Alabama,Demonstrators and Product Promoters,25540
AL,Alabama,Real Estate Brokers,*
AL,Alabama,Real Estate Sales Agents,58700
AL,Alabama,Sales Engineers,83000
AL,Alabama,Telemarketers,23600
AL,Alabama,"Sales and Related Workers, All Other",41550
AL,Alabama,Office and Administrative Support Occupations,33280
AL,Alabama,First-Line Supervisors of Office and Administrative Support Workers,53370
AL,Alabama,"Switchboard Operators, Including Answering Service",25530
AL,Alabama,Bill and Account Collectors,33800
AL,Alabama,Billing and Posting Clerks,33160
AL,Alabama,"Bookkeeping, Accounting, and Auditing Clerks",36730
AL,Alabama,Payroll and Timekeeping Clerks,38570
AL,Alabama,Procurement Clerks,38600
AL,Alabama,Tellers,26810
AL,Alabama,"Financial Clerks, All Other",35510
AL,Alabama,Brokerage Clerks,47650
AL,Alabama,Correspondence Clerks,30620
AL,Alabama,"Court, Municipal, and License Clerks",31930
AL,Alabama,"Credit Authorizers, Checkers, and Clerks",34530
AL,Alabama,Customer Service Representatives,32100
AL,Alabama,"Eligibility Interviewers, Government Programs",39300
AL,Alabama,File Clerks,24610
AL,Alabama,"Hotel, Motel, and Resort Desk Clerks",20490
AL,Alabama,"Interviewers, Except Eligibility and Loan",29140
AL,Alabama,"Library Assistants, Clerical",22550
AL,Alabama,Loan Interviewers and Clerks,33370
AL,Alabama,New Accounts Clerks,33970
AL,Alabama,Order Clerks,30480
AL,Alabama,"Human Resources Assistants, Except Payroll and Timekeeping",35770
AL,Alabama,Receptionists and Information Clerks,25150
AL,Alabama,Reservation and Transportation Ticket Agents and Travel Clerks,34550
AL,Alabama,"Information and Record Clerks, All Other",42620
AL,Alabama,Cargo and Freight Agents,47570
AL,Alabama,Couriers and Messengers,25900
AL,Alabama,"Police, Fire, and Ambulance Dispatchers",32080
AL,Alabama,"Dispatchers, Except Police, Fire, and Ambulance",40330
AL,Alabama,"Meter Readers, Utilities",34380
AL,Alabama,Postal Service Clerks,47050
AL,Alabama,Postal Service Mail Carriers,50340
AL,Alabama,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",49620
AL,Alabama,"Production, Planning, and Expediting Clerks",48910
AL,Alabama,"Shipping, Receiving, and Traffic Clerks",31790
AL,Alabama,Stock Clerks and Order Fillers,24710
AL,Alabama,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",27570
AL,Alabama,Executive Secretaries and Executive Administrative Assistants,56750
AL,Alabama,Legal Secretaries,38430
AL,Alabama,Medical Secretaries,32490
AL,Alabama,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",34350
AL,Alabama,Computer Operators,38500
AL,Alabama,Data Entry Keyers,28670
AL,Alabama,Word Processors and Typists,33660
AL,Alabama,Desktop Publishers,30380
AL,Alabama,Insurance Claims and Policy Processing Clerks,33520
AL,Alabama,"Mail Clerks and Mail Machine Operators, Except Postal Service",29600
AL,Alabama,"Office Clerks, General",24900
AL,Alabama,"Office Machine Operators, Except Computer",27440
AL,Alabama,Statistical Assistants,39130
AL,Alabama,"Office and Administrative Support Workers, All Other",36720
AL,Alabama,"Farming, Fishing, and Forestry Occupations",32630
AL,Alabama,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",54930
AL,Alabama,Agricultural Inspectors,38280
AL,Alabama,"Graders and Sorters, Agricultural Products",23220
AL,Alabama,Agricultural Equipment Operators,32870
AL,Alabama,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",21530
AL,Alabama,"Farmworkers, Farm, Ranch, and Aquacultural Animals",24930
AL,Alabama,"Agricultural Workers, All Other",27320
AL,Alabama,Fallers,32280
AL,Alabama,Logging Equipment Operators,35810
AL,Alabama,Log Graders and Scalers,38040
AL,Alabama,Construction and Extraction Occupations,39990
AL,Alabama,First-Line Supervisors of Construction Trades and Extraction Workers,57400
AL,Alabama,Boilermakers,53780
AL,Alabama,Brickmasons and Blockmasons,39660
AL,Alabama,Stonemasons,34270
AL,Alabama,Carpenters,36810
AL,Alabama,Carpet Installers,37600
AL,Alabama,"Floor Layers, Except Carpet, Wood, and Hard Tiles",28890
AL,Alabama,Floor Sanders and Finishers,29360
AL,Alabama,Tile and Marble Setters,40330
AL,Alabama,Cement Masons and Concrete Finishers,34160
AL,Alabama,Construction Laborers,28580
AL,Alabama,"Paving, Surfacing, and Tamping Equipment Operators",34930
AL,Alabama,Operating Engineers and Other Construction Equipment Operators,38010
AL,Alabama,Drywall and Ceiling Tile Installers,35320
AL,Alabama,Electricians,46360
AL,Alabama,Glaziers,37100
AL,Alabama,"Insulation Workers, Floor, Ceiling, and Wall",31190
AL,Alabama,"Insulation Workers, Mechanical",39300
AL,Alabama,"Painters, Construction and Maintenance",34920
AL,Alabama,Paperhangers,35290
AL,Alabama,Pipelayers,34220
AL,Alabama,"Plumbers, Pipefitters, and Steamfitters",41460
AL,Alabama,Plasterers and Stucco Masons,31060
AL,Alabama,Roofers,31810
AL,Alabama,Sheet Metal Workers,38410
AL,Alabama,Structural Iron and Steel Workers,44760
AL,Alabama,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",26010
AL,Alabama,Helpers--Carpenters,25310
AL,Alabama,Helpers--Electricians,27460
AL,Alabama,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",22370
AL,Alabama,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",24610
AL,Alabama,Helpers--Roofers,23990
AL,Alabama,"Helpers, Construction Trades, All Other",24460
AL,Alabama,Construction and Building Inspectors,53230
AL,Alabama,Elevator Installers and Repairers,67300
AL,Alabama,Fence Erectors,26530
AL,Alabama,Hazardous Materials Removal Workers,35110
AL,Alabama,Highway Maintenance Workers,28700
AL,Alabama,Rail-Track Laying and Maintenance Equipment Operators,36450
AL,Alabama,Septic Tank Servicers and Sewer Pipe Cleaners,32170
AL,Alabama,"Construction and Related Workers, All Other",42240
AL,Alabama,"Rotary Drill Operators, Oil and Gas",45360
AL,Alabama,"Service Unit Operators, Oil, Gas, and Mining",53680
AL,Alabama,"Earth Drillers, Except Oil and Gas",40440
AL,Alabama,"Explosives Workers, Ordnance Handling Experts, and Blasters",56680
AL,Alabama,Continuous Mining Machine Operators,55470
AL,Alabama,Mine Cutting and Channeling Machine Operators,50590
AL,Alabama,"Mining Machine Operators, All Other",*
AL,Alabama,"Roof Bolters, Mining",58760
AL,Alabama,"Roustabouts, Oil and Gas",40180
AL,Alabama,Helpers--Extraction Workers,42540
AL,Alabama,"Installation, Maintenance, and Repair Occupations",45460
AL,Alabama,"First-Line Supervisors of Mechanics, Installers, and Repairers",64380
AL,Alabama,"Computer, Automated Teller, and Office Machine Repairers",37510
AL,Alabama,"Radio, Cellular, and Tower Equipment Installers and Repairers",50110
AL,Alabama,"Telecommunications Equipment Installers and Repairers, Except Line Installers",53070
AL,Alabama,Avionics Technicians,61680
AL,Alabama,"Electric Motor, Power Tool, and Related Repairers",44840
AL,Alabama,"Electrical and Electronics Installers and Repairers, Transportation Equipment",62170
